2025-03-27 09:51:37,277 INFO    Thread-15 (_run_job):28812 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-27 09:51:37,278 INFO    Thread-15 (_run_job):28812 [wandb_setup.py:_flush():67] Configure stats pid to 28812
2025-03-27 09:51:37,278 INFO    Thread-15 (_run_job):28812 [wandb_setup.py:_flush():67] Loading settings from /home/gametheorylab/.config/wandb/settings
2025-03-27 09:51:37,278 INFO    Thread-15 (_run_job):28812 [wandb_setup.py:_flush():67] Loading settings from /home/gametheorylab/Desktop/RL-DA6400-assignment_1/mountain_car-v0/wandb/settings
2025-03-27 09:51:37,278 INFO    Thread-15 (_run_job):28812 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-27 09:51:37,278 INFO    Thread-15 (_run_job):28812 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/gametheorylab/Desktop/RL-DA6400-assignment_1/mountain_car-v0/wandb/run-20250327_095137-zn1qjfy6/logs/debug.log
2025-03-27 09:51:37,279 INFO    Thread-15 (_run_job):28812 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/gametheorylab/Desktop/RL-DA6400-assignment_1/mountain_car-v0/wandb/run-20250327_095137-zn1qjfy6/logs/debug-internal.log
2025-03-27 09:51:37,279 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():761] calling init triggers
2025-03-27 09:51:37,279 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():766] wandb.init called with sweep_config: {'alpha': 0.2158184780619357, 'epsilon': 0.1469550174939609}
config: {'_wandb': {}}
2025-03-27 09:51:37,279 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():784] starting backend
2025-03-27 09:51:37,279 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():788] sending inform_init request
2025-03-27 09:51:37,282 INFO    Thread-15 (_run_job):28812 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-27 09:51:37,282 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():798] backend started and connected
2025-03-27 09:51:37,283 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_config_callback():1261] config_cb None None {'alpha': 0.2158184780619357, 'epsilon': 0.1469550174939609}
2025-03-27 09:51:37,285 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():891] updated telemetry
2025-03-27 09:51:37,296 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-27 09:51:37,768 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():990] starting run threads in backend
2025-03-27 09:51:37,916 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_console_start():2375] atexit reg
2025-03-27 09:51:37,917 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-27 09:51:37,917 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-27 09:51:37,917 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-27 09:51:37,917 INFO    Thread-15 (_run_job):28812 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-27 09:52:37,142 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_finish():2112] finishing run ee24e009-iitm/sarsa-mountaincar-v0tuning/zn1qjfy6
2025-03-27 09:52:37,142 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-27 09:52:37,142 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_restore():2322] restore
2025-03-27 09:52:37,142 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_restore():2328] restore done
2025-03-27 09:52:39,397 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-27 09:52:39,397 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-27 09:52:39,398 INFO    Thread-15 (_run_job):28812 [wandb_run.py:_footer_sync_info():3917] logging synced files
